iter	Passed	Remaining
0	1	165
1	2	143
2	4	149
3	5	135
4	6	131
5	8	130
6	9	131
7	11	131
8	12	129
9	14	127
10	15	123
11	16	119
12	17	117
13	19	116
14	20	115
15	21	114
16	23	112
17	24	111
18	25	110
19	27	108
20	28	107
21	30	106
22	31	104
23	32	103
24	33	101
25	35	100
26	36	98
27	37	96
28	39	95
29	40	94
30	41	92
31	43	91
32	44	90
33	45	88
34	47	87
35	48	85
36	49	84
37	50	83
38	52	81
39	53	80
40	55	79
41	55	76
42	56	75
43	57	73
44	59	72
45	60	71
46	61	69
47	63	68
48	64	66
49	65	65
50	67	64
51	68	63
52	70	62
53	71	60
54	72	59
55	73	57
56	74	56
57	76	55
58	77	53
59	78	52
60	80	51
61	82	50
62	84	49
63	85	48
64	87	47
65	89	46
66	91	45
67	93	43
68	95	42
69	96	41
70	98	40
71	100	38
72	101	37
73	103	36
74	104	34
75	106	33
76	107	32
77	109	30
78	110	29
79	111	27
80	112	26
81	114	25
82	115	23
83	116	22
84	117	20
85	119	19
86	120	18
87	121	16
88	123	15
89	125	13
90	127	12
91	128	11
92	130	9
93	131	8
94	132	6
95	133	5
96	135	4
97	136	2
98	138	1
99	139	0
