iter	Passed	Remaining
0	183	183341
1	187	93681
2	189	63108
3	191	47797
4	193	38556
5	196	32521
6	198	28220
7	201	25029
8	203	22417
9	205	20338
10	207	18692
11	209	17272
12	212	16129
13	215	15185
14	217	14263
15	218	13459
16	220	12740
17	221	12089
18	222	11498
19	224	11013
20	228	10630
21	230	10235
22	232	9877
23	233	9511
24	235	9181
25	236	8875
26	238	8604
27	241	8370
28	244	8185
29	246	7973
30	248	7768
31	250	7575
32	252	7385
33	254	7239
34	257	7103
35	259	6946
36	261	6797
37	262	6655
38	264	6514
39	266	6392
40	269	6293
41	271	6184
42	273	6082
43	274	5974
44	276	5863
45	277	5759
46	279	5666
47	282	5596
48	283	5506
49	285	5424
50	287	5348
51	288	5268
52	291	5201
53	292	5129
54	294	5064
55	297	5015
56	299	4952
57	301	4890
58	303	4834
59	304	4770
60	305	4708
61	307	4651
62	309	4601
63	312	4564
64	313	4512
65	315	4464
66	317	4417
67	318	4367
68	320	4318
69	321	4277
70	323	4238
71	326	4210
72	328	4176
73	330	4135
74	332	4097
75	334	4061
76	335	4023
77	337	3987
78	339	3957
79	341	3928
80	343	3900
81	345	3869
82	346	3831
83	348	3802
84	350	3771
85	351	3740
86	355	3732
87	358	3714
88	359	3684
89	361	3655
90	363	3628
91	364	3598
92	366	3575
93	368	3552
94	370	3532
95	373	3515
96	374	3489
97	376	3464
98	379	3449
99	381	3429
100	383	3409
101	385	3393
102	388	3380
103	389	3358
104	391	3337
105	393	3317
106	395	3298
107	397	3281
108	400	3277
109	402	3259
110	404	3240
111	406	3221
112	407	3201
113	409	3186
114	411	3168
115	414	3160
116	416	3142
117	418	3128
118	420	3110
119	422	3095
120	424	3080
121	425	3065
122	428	3053
123	430	3041
124	432	3028
125	434	3015
126	436	3000
127	438	2986
128	440	2975
129	443	2965
130	445	2952
131	446	2937
132	450	2938
133	452	2924
134	454	2913
135	457	2903
136	460	2898
137	462	2889
138	464	2875
139	465	2862
140	467	2847
141	468	2831
142	471	2826
143	474	2820
144	476	2811
145	478	2799
146	480	2788
147	482	2776
148	484	2764
149	487	2760
150	490	2755
151	492	2747
152	494	2735
153	495	2723
154	497	2713
155	500	2706
156	504	2709
157	506	2700
158	508	2690
159	510	2682
160	512	2669
161	514	2662
162	519	2665
163	520	2655
164	523	2649
165	525	2639
166	526	2627
167	528	2616
168	531	2614
169	535	2615
170	538	2609
171	540	2600
172	542	2591
173	544	2586
174	547	2579
175	550	2576
176	552	2567
177	553	2557
178	555	2547
179	557	2539
180	560	2535
181	563	2530
182	564	2521
183	566	2512
184	568	2502
185	569	2492
186	571	2483
187	573	2475
